time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-07-08T00:27:45.000Z,33.4768333,-116.8003333,6.84,1.29,ml,40,43,0.03544,0.19,ci,ci39283567,2020-07-08T00:31:29.518Z,"7km ENE of Aguanga, CA",earthquake,0.23,0.75,0.147,26,automatic,ci,ci
2020-07-08T00:21:26.750Z,38.16,-117.8102,10.5,1.9,ml,17,120.73,0.044,0.11,nn,nn00757986,2020-07-08T00:30:27.432Z,"36 km SE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-07-08T00:05:39.360Z,38.8380013,-122.8186646,17.99,0.69,md,9,152,0.01605,0.06,nc,nc73423151,2020-07-08T00:20:04.541Z,"8km WNW of Cobb, CA",earthquake,1.99,1.36,,1,automatic,nc,nc
2020-07-08T00:04:59.980Z,33.29,-116.7456667,9.8,1.76,ml,58,37,0.1167,0.19,ci,ci39283535,2020-07-08T00:16:01.750Z,"6km NNE of Lake Henshaw, CA",earthquake,0.21,0.65,0.173,28,automatic,ci,ci
2020-07-07T23:59:08.355Z,65.1459,-148.6932,6.6,0.9,ml,,,,0.62,ak,ak0208oym84z,2020-07-08T00:02:33.957Z,"30 km E of Minto, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-07-07T23:51:01.840Z,19.3646659851074,-155.218505859375,-0.189999997615814,1.89,ml,19,113,,0.119999997,hv,hv72035002,2020-07-07T23:56:39.490Z,"8 km S of Volcano, Hawaii",earthquake,0.33,0.379999995,0.26,4,automatic,hv,hv
2020-07-07T23:50:59.200Z,19.3549995422363,-155.219329833984,-0.990000009536743,1.89,ml,13,122,,0.219999999,hv,hv72034997,2020-07-07T23:56:32.460Z,"9 km S of Volcano, Hawaii",earthquake,0.33,0.49000001,0.26,4,automatic,hv,hv
2020-07-07T23:49:48.779Z,63.1968,-151.1124,0,1,ml,,,,0.77,ak,ak0208oyk63k,2020-07-07T23:52:51.616Z,"49 km SE of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-07-07T23:49:28.655Z,12.9826,92.4092,10,4.6,mb,,84,1.358,1.21,us,us7000ajsm,2020-07-08T00:19:28.040Z,"145 km NNW of Bamboo Flat, India",earthquake,8.7,1.9,0.091,36,reviewed,us,us
2020-07-07T23:31:29.865Z,63.56,-147.4896,64.7,1.4,ml,,,,0.51,ak,ak0208oyg9ro,2020-07-07T23:36:07.686Z,"73 km ESE of McKinley Park, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-07-07T23:22:15.910Z,35.0308333,-117.6846667,0.26,1.89,ml,18,73,0.09669,0.19,ci,ci39283503,2020-07-07T23:26:26.930Z,"5km NW of Boron, CA",quarry blast,0.42,31.61,0.121,29,automatic,ci,ci
2020-07-07T23:17:18.870Z,38.1277,-118.0882,0.9,1.1,ml,13,173.03,0.061,0.12,nn,nn00757974,2020-07-07T23:29:50.702Z,"29 km S of Mina, Nevada",earthquake,,12,,,automatic,nn,nn
2020-07-07T23:17:18.780Z,35.8045,-117.6175,10.55,1.05,ml,14,88,0.01974,0.16,ci,ci39283495,2020-07-07T23:20:59.901Z,"20km WNW of Searles Valley, CA",earthquake,0.43,0.65,0.138,11,automatic,ci,ci
2020-07-07T23:14:09.080Z,53.861,-166.7478333,7.53,1.58,ml,7,98,0.04289,0.08,av,av62193541,2020-07-07T23:37:41.130Z,"13 km WSW of Dutch Harbor, Alaska",earthquake,0.29,0.34,0.287,6,reviewed,av,av
2020-07-07T23:11:44.190Z,38.1615,-117.8378,10.7,1.9,ml,19,74.85,0.021,0.07,nn,nn00757970,2020-07-07T23:18:57.711Z,"34 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-07-07T22:58:31.050Z,38.8113327,-122.8193359,3.31,0.32,md,8,92,0.008074,0.01,nc,nc73423141,2020-07-07T23:35:02.290Z,"7km NW of The Geysers, CA",earthquake,0.52,1.52,0.24,2,automatic,nc,nc
2020-07-07T22:55:31.470Z,38.1357,-118.0157,0.1,1.6,ml,12,138.94,0.043,0.08,nn,nn00757962,2020-07-07T23:12:32.344Z,"29 km SSE of Mina, Nevada",earthquake,,4.1,,,automatic,nn,nn
2020-07-07T22:44:38.384Z,60.4624,-151.7261,69.6,1.4,ml,,,,0.43,ak,ak0208oxxn4h,2020-07-07T22:51:07.785Z,"24 km WNW of Kalifornsky, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-07-07T22:27:04.370Z,53.8671667,-166.7453333,8.12,0.38,ml,5,112,0.03872,0.11,av,av62193521,2020-07-07T22:40:36.120Z,"13 km W of Dutch Harbor, Alaska",earthquake,0.39,0.74,0.203,6,reviewed,av,av
2020-07-07T22:23:55.320Z,38.8411674,-122.754837,1.95,0.66,md,8,182,0.0159,0.03,nc,nc73423131,2020-07-07T22:40:04.945Z,"4km NW of Cobb, CA",earthquake,0.87,0.33,0.07,2,automatic,nc,nc
2020-07-07T22:21:46.740Z,38.8390007,-122.7511673,0.96,1,md,9,116,0.01694,0.02,nc,nc73423126,2020-07-07T23:04:05.099Z,"3km NW of Cobb, CA",earthquake,0.37,0.65,0.04,3,automatic,nc,nc
2020-07-07T22:19:03.340Z,38.8391685,-122.75,-0.09,1.37,md,22,99,0.01781,0.06,nc,nc73423121,2020-07-07T22:54:03.027Z,"3km NW of Cobb, CA",earthquake,0.22,0.51,0.17,9,automatic,nc,nc
2020-07-07T22:12:05.520Z,35.6551667,-117.4796667,2.17,1.27,ml,25,65,0.06998,0.19,ci,ci39283423,2020-07-07T22:53:43.436Z,"14km SSW of Searles Valley, CA",earthquake,0.25,0.52,0.112,18,reviewed,ci,ci
